"","Age","Larvae_pCO2","N","Length","sd","se","ci"
"1",2,"Low pCO2",5,96.812,1.82158447512049,0.814637342625539,2.26179586244402
"2",2,"Moderate pCO2",4,94.6225,0.830436632139986,0.415218316069993,1.32140999586307
"3",2,"High pCO2",4,70.605,4.43110595675617,2.21555297837808,7.05087839019965
"4",4,"Low pCO2",5,107.82,1.6290027624286,0.728512182465057,2.02267408308207
"5",4,"Moderate pCO2",4,103.5475,1.83545407642541,0.917727038212705,2.92061702201898
"6",4,"High pCO2",4,77.695,5.73481473109638,2.86740736554819,9.12536997623212
"7",8,"Low pCO2",5,164.264,10.5462543113657,4.71642830964279,13.094904294324
"8",8,"Moderate pCO2",5,157.718,7.40985627390977,3.31378846639311,9.20055176717805
"9",8,"High pCO2",5,98.226,13.0421117921907,5.83260970749801,16.193920672912
"10",10,"Low pCO2",5,182.32,7.21540366161173,3.22682661449294,8.9591069591309
"11",10,"Moderate pCO2",5,169.334,8.81216658943759,3.94092070460699,10.9417500002787
"12",10,"High pCO2",5,104.922,23.4121906279613,10.470249949261,29.0700742218232
